#{"t_start": 1686537962.0097654, "env_id": null}
r,l,t
-0.02,2,2979.690475
0.17,3,2980.8041
-0.02,2,2981.584439
0.06,4,2983.120557
0.08,2,2983.917238
0.24,6,2986.213573
0.22,8,2989.199374
-0.02,2,2990.024723
0.69,11,2994.117446
0.28,12,2998.605903
0.67,13,3003.477475
0.07,3,3004.597075
-0.02,2,3005.385642
0.91,19,3012.356128
0.08,2,3013.167702
-14.55,55,3033.37104
-0.01,1,3033.770375
0.18,2,3034.549295
0.08,2,3035.281007
0.87,13,3040.06599
0.08,2,3040.922966
0.24,6,3043.165258
-23.89,44,3059.649521
-0.04,14,3065.088512
0.35,15,3070.717221
-5.88,23,3079.311723
0.13,7,3082.023662
0.15,5,3083.929803
0.2,10,3087.749737
2.65,25,3097.275375
0.14,6,3099.473922
-31.51,51,3118.62765
0.23,7,3121.371604
0.08,2,3122.232052
0.08,2,3122.980327
0.09,1,3123.433934
-4.04,14,3128.711198
0.16,14,3133.93507
0.25,5,3135.870832
0.14,6,3138.14371
4.44,61,3161.021229
0.09,1,3161.438433
0.11,24,3170.571681
0.08,2,3171.328205
0.05,15,3176.850846
-8.43,13,3182.025117
0.21,9,3185.488535
-14.13,38,3199.650714
0.07,3,3200.837328
-15.86,26,3210.422578
0.18,2,3211.343109
0.09,1,3211.7229
-0.02,2,3212.48619
0.18,2,3213.264343
0.17,3,3214.437426
0.09,1,3214.818956
0.18,2,3215.616354
-0.04,4,3217.007617
0.08,2,3217.826407
0.08,2,3218.558665
-0.01,1,3219.036474
0.09,1,3219.421167
0.09,1,3219.835042
0.08,2,3220.6325
0.06,4,3222.112746
0.26,4,3223.660676
0.44,6,3225.949552
0.08,2,3226.75406
0.09,1,3227.200694
0.09,1,3227.621281
-0.01,1,3228.043506
0.08,2,3228.858727
0.18,2,3229.631693
0.09,1,3230.05209
-0.01,1,3230.456006
0.07,3,3231.612478
0.09,1,3231.98703
0.09,1,3232.469002
0.27,3,3233.612492
-5.29,19,3240.465298
0.08,2,3241.216125
-0.03,3,3242.352608
-0.02,2,3243.120637
-0.02,2,3243.899307
0.08,2,3244.707111
0.08,2,3245.503423
-0.01,1,3245.83248
0.31,9,3249.333886
-0.02,2,3250.101513
0.08,2,3250.921762
0.77,33,3263.287063
0.18,2,3264.068381
-0.01,1,3264.498898
0.16,4,3266.1393
0.18,2,3266.930455
-0.02,2,3267.722013
-0.01,1,3268.115394
0.08,2,3268.914037
-0.02,2,3269.634041
-0.05,5,3271.583992
0.07,3,3272.669601
1.22,18,3279.499855
-0.02,2,3280.307274
2.9,50,3298.576146
0.34,6,3300.871121
-10.95,45,3317.491072
0.26,4,3319.004978
1.18,32,3330.756136
0.09,1,3331.176505
0.08,2,3331.95988
0.09,1,3332.374202
-2.76,16,3338.338582
-2.93,13,3343.179719
0.08,2,3343.881399
-12.59,59,3366.415478
0.14,6,3368.6907
-1.48,18,3375.337691
-0.02,2,3376.289352
0.7,35,3389.63952
-9.22,22,3398.037183
0.08,2,3398.780005
-10.69,19,3406.010324
-0.02,2,3406.839065
0.19,11,3411.04973
1.45,20,3418.520758
0.3,10,3422.33735
0.61,9,3425.687509
0.08,2,3426.507093
0.36,4,3427.989264
0.18,2,3428.800614
0.17,3,3429.956063
-0.03,3,3431.087729
-0.02,2,3431.890589
-0.03,3,3432.93183
